JF965364.1 |Influenza B virus (B/Kol/2024/2008) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2008-09-25
JF965353.1 |Influenza B virus (B/Kol/194/2010) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2010-03-11
JF965369.1 |Influenza B virus (B/Kol/194/2010) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2010-03-11
JF965347.1 |Influenza B virus (B/Kol/1880/2008) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2008-08-12
JF965363.1 |Influenza B virus (B/Kol/1880/2008) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2008-08-12
JF965346.1 |Influenza B virus (B/Kol/1373/2008) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2008-01-31
JF965362.1 |Influenza B virus (B/Kol/1373/2008) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2008-01-31
JF965345.1 |Influenza B virus (B/Kol/1267/2007) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2007-10-24
JF965361.1 |Influenza B virus (B/Kol/1267/2007) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2007-10-24
JF965344.1 |Influenza B virus (B/Kol/1266/2007) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2007-10-24
JF965360.1 |Influenza B virus (B/Kol/1266/2007) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2007-10-24
JF965343.1 |Influenza B virus (B/Kol/1109/2007) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2007-08-29
JF965359.1 |Influenza B virus (B/Kol/1109/2007) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2007-08-29
KP976410.1 |Influenza B virus (B/Jiangsu/01/2015) segment 3 polymerase PA (PA) gene, complete cds|3||China|2015-06-30|2015-02-05
KP976411.1 |Influenza B virus (B/Jiangsu/01/2015) segment 4 hemagglutinin (HA) gene, complete cds|4||China|2015-06-30|2015-02-05
KP976412.1 |Influenza B virus (B/Jiangsu/01/2015) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds|8||China|2015-06-30|2015-02-05
KP976413.1 |Influenza B virus (B/Jiangsu/01/2015) segment 1 polymerase PB1 (PB1) gene, complete cds|1||China|2015-06-30|2015-02-05
KP976414.1 |Influenza B virus (B/Jiangsu/01/2015) segment 2 polymerase PB2 (PB2) gene, complete cds|2||China|2015-06-30|2015-02-05
KP976415.1 |Influenza B virus (B/Jiangsu/01/2015) segment 5 nucleoprotein (NP) gene, complete cds|5||China|2015-06-30|2015-02-05
KP976416.1 |Influenza B virus (B/Jiangsu/01/2015) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||China|2015-06-30|2015-02-05
KP976417.1 |Influenza B virus (B/Jiangsu/01/2015) segment 7 matrix protein 1 (M1) and BM2 protein (BM2) genes, complete cds|7||China|2015-06-30|2015-02-05
EF456777.1 |Influenza B virus (B/Hong Kong/8/1973) segment 5, complete sequence|5||Hong Kong|2007-03-05|1973
EF456778.1 |Influenza B virus (B/Hong Kong/8/1973) segment 2, complete sequence|2||Hong Kong|2007-03-05|1973
EF456779.1 |Influenza B virus (B/Hong Kong/8/1973) segment 3, complete sequence|3||Hong Kong|2007-03-05|1973
EU305611.1 |Influenza B virus (B/Guangzhou/01/2007) segment 1, complete sequence|1||China|2007-12-05|2007-07-12
EU305612.1 |Influenza B virus (B/Guangzhou/01/2007) segment 2, complete sequence|2||China|2007-12-05|2007-07-12
EU305613.1 |Influenza B virus (B/Guangzhou/01/2007) segment 3, complete sequence|3||China|2007-12-05|2007-07-12
EU305614.1 |Influenza B virus (B/Guangzhou/01/2007) segment 4, complete sequence|4||China|2007-12-05|2007-07-12
EU305615.1 |Influenza B virus (B/Guangzhou/01/2007) segment 5, complete sequence|5||China|2007-12-05|2007-07-12
